actividad	centro	dni	quien	importe	date	tipo
Adquisicion de 1 camara termica y accesorios	Ayuntamiento		DRAGER IBERIA	8875	28/11/2018	Suministros(Menor)
SUMINISTRO DE 8 VEHÍCULOS DEL SERVICIO CONTRA INCENDIOS, DE SALVAMENTO Y PROTECCIÓN CIVIL	Ayuntamiento		CARZA, S.A.	23956	27/11/2018	Suministros(Abierto)
SUMINISTRO DE EQUIPOS DE FILTRACION PARA PISCINAS	Ayuntamiento		PRODUCTOS QUIMICOS, S.L.	6548	27/11/2018	Suministros(Menor)
SUMINISTRO DE 8 VEHÍCULOS DEL SERVICIO CONTRA INCENDIOS, DE SALVAMENTO Y PROTECCIÓN CIVIL	Ayuntamiento		AGREDA AUTOMOVIL S.A.	49300	27/11/2018	Suministros(Abierto)
Asistencia_Tecnica_NDMP	Ayuntamiento		OMEGA PERIPHERALS	5500	23/11/2018	Servicios(Menor)
FORMACION NETAPP	Ayuntamiento		PROSOL	9642	23/11/2018	Servicios(Menor)
Martillos hidraulicos retroexcavadora.Bajo nivel sonoro dBA	Ayuntamiento		J.R.A-MAQUINARIA-SL	12300	23/11/2018	Suministros(Menor)
Suministro Licencias Soporte Fortiwifi	Ayuntamiento		SAYTEL SERVICIOS INFORMATICOS, S.A.	8656	23/11/2018	Suministros(Menor)
MANTENIMIENTO Y ACTUALIZACIÓN DEL APLICATIVO INFORMÁTICO DE TRAMITACIÓN DE LOS EXPEDIENTES Y ACTUACIONES RELATIVAS A LA CONTRATACIÓN DEL AYUNTAMIENTO DE ZARAGOZA	Ayuntamiento		EUROFOR CENTRO DE FORMACIÓN S.L.	23140	23/11/2018	Servicios(Abierto Simplificado)
AUDITORIA CPD AYUNTAMIENTO. ZARAGOZA	Ayuntamiento		AQUADS TECHNOLOGIES	6200	23/11/2018	Servicios(Menor)
Suministro Cortafuegos para Sedes Remotas Municipales	Ayuntamiento		SAYTEL INFORMATICA, S.L.	13810	23/11/2018	Suministros(Menor)
ESTUDIO DE MERCADO DE HABITOS DE CONSUMO Y ACEPTACION DE PRODUCTOS ECOLOGICOS Y DE PROXIMIDAD	Ayuntamiento		SIGMADOS ANALISIS E INVESTIGACION S.L.	10500	22/11/2018	Servicios(Menor)
Diseno e Implementacion del Serv. de Visualizacion de Informacion ref. a la Movilidad Urbana	Ayuntamiento		GEOSPATIUMLAB S.L.	12500	22/11/2018	Servicios(Menor)
ACONDICIONAMIENTO DE CAMINOS MUNICIPALES EN LOS BARRIOS DE  PENAFLOR Y MONTANANA ( ZONA NORESTE)	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	11590	22/11/2018	Obras(Menor)
ACONDICIONAMIENTO DE CAMINOS MUNICIPALESEN LOS BARRIOS DE JUSLIBOL Y SAN GREGORIO(ZONA NORTE	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	26350	22/11/2018	Obras(Menor)
SUMINISTRO DE MONITORES INALAMBRICOS DE 4 GASES PARA EL SERVICIO DE INSTALACIONES DEPORTIVAS	Ayuntamiento		IBERSYSTEM, S.A	13133	22/11/2018	Suministros(Menor)
